序号,笔记ID,标题,类型,作者昵称,作者ID,点赞数,收藏数,评论数,分享数,标签,笔记链接
1,6a06dd2a0000000035032fba,3个动作，实现不打工自由💻不上班的opc策略！,video,何京昭Yuki,5e5da94c0000000001001bc1,56589,22458,56,1444,,https://www.xiaohongshu.com/explore/6a06dd2a0000000035032fba
2,697066a5000000001a030455,第06集 开一家猥琐但值钱的公司,video,可惡的舒老师,642e371e0000000011020346,19919,12126,287,3317,,https://www.xiaohongshu.com/explore/697066a5000000001a030455
3,69fa96c30000000036031434,26年不想上班，如何成为月入10w💰的超级个体,video,克里斯汀女士,5a7c4103e8ac2b06446eabd6,15147,15959,128,2275,,https://www.xiaohongshu.com/explore/69fa96c30000000036031434
4,6a50716c000000000f028ce8,我的app被抄袭了,video,Yapie程序员哥,63775456000000001f01c067,13505,601,467,83,,https://www.xiaohongshu.com/explore/6a50716c000000000f028ce8
5,674724700000000002018b06,🪐从1人开始，到无限可能｜会员计划,normal,Pitch.拓点学习室,5cc20cf90000000017030456,12034,12131,396,2149,,https://www.xiaohongshu.com/explore/674724700000000002018b06
6,681edd8800000000220066ca,当20个一人CEO聚在一起…,video,Pitch.拓点学习室,5cc20cf90000000017030456,9445,5197,260,1352,,https://www.xiaohongshu.com/explore/681edd8800000000220066ca
7,67b49de1000000000e006d25,2025，你完全可以成为一人公司。,normal,推特大神,657c0447000000003d03454b,9224,10713,76,1405,,https://www.xiaohongshu.com/explore/67b49de1000000000e006d25
8,683973310000000021003f31,2026不上班，如何开启自己的一人无限公司？,video,Pitch.拓点学习室,5cc20cf90000000017030456,7838,4951,102,664,,https://www.xiaohongshu.com/explore/683973310000000021003f31
9,66d81f68000000001f01534a,一人公司，用6个月赚6年的钱‼️,video,周一念,5aba682e11be10263bc9b5b7,6657,6742,22,390,,https://www.xiaohongshu.com/explore/66d81f68000000001f01534a
10,67d27e31000000001e004588,超级个体时代已经到来，你准备好了吗,normal,一只芮（阅读版）,67d03cf5000000000a03cc9d,5841,6187,361,1805,,https://www.xiaohongshu.com/explore/67d27e31000000001e004588
11,699844c700000000280220f9,一条视频教会你用AI开家盈利的公司！🆕,video,小猫说｜内容成交,5ab4a5284eacab0821465cb5,5541,10400,125,1511,,https://www.xiaohongshu.com/explore/699844c700000000280220f9
12,6909c5620000000004011955,不卖课，程序员一人公司应该怎么做（纯分享）,video,快跑啊小卢_,5b07793a6b58b7646b6cea16,5320,8036,254,1119,,https://www.xiaohongshu.com/explore/6909c5620000000004011955
13,6a0469860000000038023bac,打工人怎么做成一人公司？,video,大梁Pro,66d68a5d000000001d02391d,5348,10914,88,1200,,https://www.xiaohongshu.com/explore/6a0469860000000038023bac
14,66ffcbbd000000002c014684,不上班，开一人公司，如何年入百万❓,video,许哈哈😄,5c52b884000000001b008c3f,5309,5630,129,783,,https://www.xiaohongshu.com/explore/66ffcbbd000000002c014684
15,6a4744bc000000001101d38c,裸辞第3个月，收入超过了之前工资啊啊啊,video,西门美月匈XD,67bb4f4500000000070026b6,5093,3939,133,390,,https://www.xiaohongshu.com/explore/6a4744bc000000001101d38c
16,67602520000000000b022767,2026年搞钱、搞脑、搞资源｜全年计划🏄🏿‍♀️,normal,Pitch.拓点学习室,5cc20cf90000000017030456,3946,3403,94,796,,https://www.xiaohongshu.com/explore/67602520000000000b022767
17,69c15c9d000000001d01c097,又上热搜了，我的一人公司看来成功了,video,Yapie程序员哥,63775456000000001f01c067,3879,2980,237,826,,https://www.xiaohongshu.com/explore/69c15c9d000000001d01c097
18,697feb57000000001a01d14a,全网鼓吹一人公司OPC，但这盆冷水必须得泼,normal,梁远,65792838000000003d0365bf,3866,3972,350,1245,,https://www.xiaohongshu.com/explore/697feb57000000001a01d14a
19,69fc0c040000000035032070,全公司就我一个员工，每天一个人上班！,normal,两个又,596eb7ce6a6a691385232377,3698,1131,1961,559,,https://www.xiaohongshu.com/explore/69fc0c040000000035032070
20,6839a17a000000002100dda5,3⃣️步拓展搞钱人脉，认识100位一人公司CEO,normal,Pitch.拓点学习室,5cc20cf90000000017030456,3395,3170,85,504,,https://www.xiaohongshu.com/explore/6839a17a000000002100dda5
