分析维度,指标,数据/结论
一、数据概况,采集笔记总数,20
一、数据概况,去重检查,20篇无重复✅
一、数据概况,数据完整性,全部字段完整✅
一、数据概况,最高点赞数,56589
一、数据概况,最低点赞数,3395
一、数据概况,平均点赞数,"10,299"
一、数据概况,平均收藏数,"7,750"
一、数据概况,平均评论数,256
一、数据概况,平均分享数,"1,126"
一、数据概况,点赞中位数,"6,249"
一、数据概况,收藏中位数,"5,914"
二、内容类型分析,video数量,13
二、内容类型分析,video占比,65.0%
二、内容类型分析,normal(图文)数量,7
二、内容类型分析,normal(图文)占比,35.0%
二、内容类型分析,video平均点赞,"13,591"
二、内容类型分析,normal平均点赞,"6,858"
二、内容类型分析,video平均收藏,"8,357"
二、内容类型分析,normal平均收藏,"6,387"
二、内容类型分析,结论,video形式表现优于图文（点赞高出约98%）
三、收藏比分析,收藏>点赞的笔记数,6篇
三、收藏比分析,收藏/点赞比最高笔记,小猫说｜内容成交（1.88倍）
三、收藏比分析,收藏/点赞比第二,大梁Pro（2.04倍）
三、收藏比分析,收藏/点赞比第三,推特大神（1.16倍）
三、收藏比分析,结论,"高收藏比=高干货价值，适合做"收藏型"内容"
四、作者集中度分析,独立作者数量,14位
四、作者集中度分析,高产作者1,"Pitch.拓点学习室（5篇，占25%）"
四、作者集中度分析,高产作者2,Yapie程序员哥（2篇，占10%）
四、作者集中度分析,其余作者,各1篇
四、作者集中度分析,结论,"头部作者集中度高，Pitch.拓点学习室是"一人公司"赛道核心KOL"
五、标题高频关键词分析,Top1,"一人公司（出现8次，40%）"
五、标题高频关键词分析,Top2,不上班（出现6次，30%）
五、标题高频关键词分析,Top3,搞钱/赚钱/收入（出现5次，25%）
五、标题高频关键词分析,Top4,超级个体（出现3次，15%）
五、标题高频关键词分析,Top5,年入/月入（出现3次，15%）
五、标题高频关键词分析,Top6,程序员/技术（出现2次，10%）
五、标题高频关键词分析,Top7,AI（出现2次，10%）
五、标题高频关键词分析,Top8,会员/计划（出现2次，10%）
五、标题高频关键词分析,Top9,裸辞/不打工（出现2次，10%）
五、标题高频关键词分析,Top10,OPC（出现2次，10%）
五、标题高频关键词分析,结论,"标题核心公式：一人公司 + 不上班/自由 + 搞钱/收入 + 数字（年入百万/月入10w）"
六、选题规律总结,选题类型1,"【方法论型】"如何做"类教程（10篇，50%）"
六、选题规律总结,选题类型2,"【成果展示型】"我成功了/收入暴涨"（4篇，20%）"
六、选题规律总结,选题类型3,"【趋势呼吁型】"时代来了/你准备好了吗"（3篇，15%）"
六、选题规律总结,选题类型4,"【反常识/争议型】"泼冷水/猥琐但值钱"（2篇，10%）"
六、选题规律总结,选题类型5,"【故事型】"全公司就我一个员工"（1篇，5%）"
六、选题规律总结,结论,"方法论型占半壁江山，用户最需要"怎么做"的实操指南"
七、爆文公式提炼,公式1,"数字+痛点+解决方案：如"3个动作，实现不打工自由""
七、爆文公式提炼,公式2,"时间对比+收入冲击：如"用6个月赚6年的钱""
七、爆文公式提炼,公式3,"身份共鸣+路径指引：如"打工人怎么做成一人公司？""
七、爆文公式提炼,公式4,"反常识+好奇心：如"开一家猥琐但值钱的公司""
七、爆文公式提炼,公式5,"趋势+紧迫感：如"超级个体时代已经到来""
七、爆文公式提炼,结论,"爆文=身份共鸣（打工人/程序员）+ 结果诱惑（收入/自由）+ 可执行路径"
八、互动率分析,最高评论笔记,"两个又 - 全公司就我一个员工（1961条评论）"
八、互动率分析,最高分享笔记,"可惡的舒老师 - 开一家猥琐但值钱的公司（3317次分享）"
八、互动率分析,评论/点赞比最高,"两个又（0.53），远高于平均（0.025）"
八、互动率分析,分享/点赞比最高,"可惡的舒老师（0.17），远高于平均（0.11）"
八、互动率分析,结论,"故事型+争议型内容引发讨论，反常识标题驱动分享传播"
九、内容赛道洞察,核心赛道,一人公司/超级个体/自由职业
九、内容赛道洞察,目标受众,"打工人、程序员、想裸辞的职场人、想搞副业的年轻人"
九、内容赛道洞察,内容调性,"焦虑驱动（不想上班）+ 希望指引（年入百万）+ 实操落地"
九、内容赛道洞察,变现路径暗示,"卖课/社群/会员/咨询/工具产品"
